sku,national_inv,lead_time,in_transit_qty,forecast_3_month,forecast_6_month,forecast_9_month,sales_1_month,sales_3_month,sales_6_month,sales_9_month,min_bank,potential_issue,pieces_past_due,perf_6_month_avg,perf_12_month_avg,local_bo_qty,deck_risk,oe_constraint,ppap_risk,stop_auto_buy,rev_stop,xcs_pro
1026827,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.7669,0.763186,0.0,0,0,0,1,0,0
1043384,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.99,0.99,0.0,0,0,0,1,0,0
1043696,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.7669,0.763186,0.0,1,0,0,1,0,0
1043852,0.989949,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.141421,0,0.0,0.1,0.13,0.0,0,0,0,1,0,0
1044048,0.872872,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.436436,0.218218,0,0.0,0.7669,0.763186,0.0,1,0,0,1,0,0
1044198,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.82,0.87,0.0,0,0,0,1,0,0
1044643,0.999993,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003653,0,0.0,0.7669,0.763186,0.0,1,0,0,1,0,0
1045098,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0,1,1,0,0
1045815,0.592005,8.0,0.0,0.063429,0.482061,0.642748,0.0,0.0,0.0,0.0,0.0,0,0.0,0.7669,0.763186,0.0,0,0,0,1,0,0
1045867,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.82,0.87,0.0,0,0,0,1,0,0
1045918,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.91,0.82,0.0,0,0,0,1,0,0
1047146,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.7669,0.763186,0.0,1,0,0,1,0,0
1047199,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.7669,0.763186,0.0,1,0,0,1,0,0
1047661,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.7669,0.763186,0.0,1,0,0,0,0,0
1049160,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.7669,0.763186,0.0,1,0,0,1,0,0
1049468,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.82,0.78,0.0,0,0,0,1,0,0
1050390,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.98,0.0,0,0,0,1,0,0
1050440,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0,0,0,0,1,0,0
1117808,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.7669,0.763186,0.0,0,0,0,1,0,0
1050856,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.7669,1.0,0.0,0,0,1,1,0,0
1118063,0.992278,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.124035,0,0.0,0.7669,0.763186,0.0,1,0,0,1,0,0
1127154,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.7669,0.763186,0.0,1,0,0,1,0,0
1127410,0.993884,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.110432,0,0.0,0.7669,0.763186,0.0,1,0,0,1,0,0
1128393,0.999541,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030289,0,0.0,0.7669,0.763186,0.0,1,0,1,1,0,0
1051516,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.7669,1.0,0.0,0,0,0,1,0,0
1128591,0.999717,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023803,0,0.0,0.7669,0.763186,0.0,1,0,0,1,0,0
1130534,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.7669,0.763186,0.0,1,0,1,0,0,0
1051715,0.942809,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.235702,0.235702,0.0,0,0.0,0.7669,0.763186,0.0,0,0,0,1,0,0
1053950,0.0,8.0,0.0,0.0,0.0,0.0,0.288675,0.288675,0.288675,0.866025,0.0,0,0.0,0.7669,0.763186,0.0,1,0,0,1,0,0
1132770,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.7669,0.763186,0.0,1,0,0,1,0,0
1141087,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.7669,0.763186,0.0,0,0,0,1,0,0
1054562,0.995037,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.099504,0.0,0,0.0,0.7669,0.763186,0.0,0,0,0,1,0,0
1141767,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.7669,0.763186,0.0,1,0,0,1,0,0
1156929,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.7669,0.763186,0.0,0,0,0,0,0,0
1157130,0.983783,8.0,0.0,0.0,0.0,0.0,0.0,0.103556,0.103556,0.103556,0.0,0,0.0,0.7669,0.763186,0.0,1,0,0,1,0,0
1055673,0.980581,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.196116,0,0.0,0.7669,0.763186,0.0,0,0,0,1,0,0
1157334,0.0,8.0,0.0,0.57735,0.57735,0.57735,0.0,0.0,0.0,0.0,0.0,0,0.0,0.7669,0.763186,0.0,0,0,0,1,0,0
